review_date;star_rating;review_title;review_text
01 Aug 2014 - 11:02;1;Hard to log in;Really hard to log in with google account...i don't know why... no use installing the apps but cannot log in & read...
03 Jun 2014 - 01:31;5;All free;Free magz and newspaper in my note 8. Cool!!!
05 Aug 2014 - 09:48;5;Amazing;Up!
05 Jul 2014 - 06:05;5;Free Quality Content;Well, it's simply a must have app for people who seek quality contents for free. Love the clean interface and easy to operate. Looking forward for additional magz, books, newspaper, and else to be added. Great job for the developer and team.
07 Jul 2014 - 11:18;1;An internal error;Selalu begini tiap mau login. Baik menggunakan wifi atau paket data sekalipun. Akan sangat meneyenangkan bila tim memperbaiki
07 Sep 2014 - 01:32;1;Could not able to login to google+;Sungguh mengecewakan tidak dapat terkoneksi dgn google+, juga tidak dapat mendownload seperti di katakan dlm promosi yg sampai bulan desember 2014
09 Sep 2014 - 04:58;5;Bagus;Gratisan
10 Jul 2014 - 11:04;5;Nive;Oke
12 Aug 2014 - 01:41;4;Josss dan rekomended;E paper grstis
12 Oct 2014 - 05:52;4;Bagus;Penuh dg informasi
14 Aug 2014 - 10:10;5;Media;Good
14 Aug 2014 - 12:20;5;Bagus sekali;Program yg sangat ber manfaat tapi sayang di batasi waktu gratis nya. Tolong zoom-in nya bisa di buat lebih besar supaya teks dapat terbaca dengan lebih jelas untuk pengguna smart phone.
16 Aug 2014 - 05:10;1;Download Failures;Tried to download Kompas but fails often. No point of downloading morning paper at night, when downloading it in the morning always fail. Scoop and even Kompas app is much better than this one
16 Oct 2014 - 02:49;5;Aplikasi yg baik;Lebih banyak yg gratis, hehehe
16 Oct 2014 - 03:35;5;Good;Semoga segera ada ebook
16 Oct 2014 - 03:58;5;Oke;Inspiring
16 Oct 2014 - 10:54;4;Good;Overall is good. Major thing that I'd love to have is ability to store the ebook in external storage. Three months using this apps, consume more than 4GB of my internal storage. Thanks!
16 Sep 2014 - 12:16;2;Loading page lemot;Tab 4 8, load pindah halaman butuh waktu lama.
17 Jun 2014 - 05:00;5;Wooow;Lumayanlahh Beli Galaxy Tab 4 8inch Dapet ini 😊☺😀
17 Oct 2014 - 01:31;5;Option Save To SDCard;Tolong dibuat option untuk menyimpan konten yg sudah kita download ke SD Card, karena 1 bulan saja sudah memakan hampir 3GB. Tolong ya...
18 Jul 2014 - 11:08;4;Suka error;Mohon di perbaiki bug2 nya karena saat melakukan download,selalu saja error,tidak pernah berhasil saya downloadnya. Padahal sudah menggunakan wifi dengan kecepatan 2 mbps...mohon bantuannya...
18 Jun 2014 - 05:05;5;Gratis aseek;Majalah gratis thanks samsung
18 Oct 2014 - 07:15;2;S lime;Agak berat nih
19 Oct 2014 - 11:37;4;Ebook for tab s;Secepatnya di adakan ebook ya.
23 Aug 2014 - 10:59;4;Bagus;Memanjakan pencari berita dan artikel
23 Aug 2014 - 11:18;1;Ga bisa login;Ada saran?
23 Jul 2014 - 04:42;5;Good;I like it
28 Jul 2014 - 02:30;1;Galaxy tab 4;Kompas pagi tanggal 26 & 27 Juli kok gak ada ya???
---------
