datelabel;date;daily_crashes;daily_anrs;total_detail;total_os;total_device;total_appversion
07 Nov 2013;2013-11-07;3;0;2;3;3;1
08 Nov 2013;2013-11-08;1;0;1;1;1;1
10 Nov 2013;2013-11-10;2;0;2;2;2;1
11 Nov 2013;2013-11-11;2;0;1;2;2;1
12 Nov 2013;2013-11-12;2;0;2;1;2;1
13 Nov 2013;2013-11-13;2;0;2;1;1;1
14 Nov 2013;2013-11-14;1;0;1;1;1;1
20 Nov 2013;2013-11-20;1;0;1;1;1;1
21 Nov 2013;2013-11-21;1;0;1;1;1;1
24 Nov 2013;2013-11-24;1;0;1;1;1;1
30 Nov 2013;2013-11-30;1;0;1;1;1;1
02 Dec 2013;2013-12-02;1;0;1;1;1;1
03 Dec 2013;2013-12-03;5;0;4;2;2;1
04 Dec 2013;2013-12-04;4;0;3;1;1;1
06 Dec 2013;2013-12-06;2;0;2;1;2;1
07 Dec 2013;2013-12-07;1;0;1;1;1;1
13 Dec 2013;2013-12-13;3;0;3;3;3;1
15 Dec 2013;2013-12-15;0;1;1;1;1;1
16 Dec 2013;2013-12-16;1;0;1;1;1;1
17 Dec 2013;2013-12-17;1;0;1;1;1;1
21 Dec 2013;2013-12-21;1;0;1;1;1;1
22 Dec 2013;2013-12-22;1;0;1;1;1;1
23 Dec 2013;2013-12-23;1;0;1;1;1;1
24 Dec 2013;2013-12-24;1;0;1;1;1;1
28 Dec 2013;2013-12-28;1;0;1;1;1;1
29 Dec 2013;2013-12-29;2;0;1;2;2;1
30 Dec 2013;2013-12-30;2;0;2;2;2;1
02 Jan 2014;2014-01-02;2;0;1;1;1;1
03 Jan 2014;2014-01-03;2;0;1;1;1;1
05 Jan 2014;2014-01-05;1;0;1;1;1;1
06 Jan 2014;2014-01-06;1;0;1;1;1;1
07 Jan 2014;2014-01-07;0;1;1;1;1;1
08 Jan 2014;2014-01-08;0;1;1;1;1;1
11 Jan 2014;2014-01-11;1;0;1;1;1;1
12 Jan 2014;2014-01-12;1;0;1;1;1;1
13 Jan 2014;2014-01-13;1;0;1;1;1;1
16 Jan 2014;2014-01-16;1;0;1;1;1;1
17 Jan 2014;2014-01-17;2;0;2;2;2;1
18 Jan 2014;2014-01-18;1;0;1;1;1;1
19 Jan 2014;2014-01-19;1;0;1;1;1;1
23 Jan 2014;2014-01-23;3;0;2;3;3;1
24 Jan 2014;2014-01-24;1;0;1;1;1;1
29 Jan 2014;2014-01-29;1;0;1;1;1;1
30 Jan 2014;2014-01-30;1;0;1;1;1;1
31 Jan 2014;2014-01-31;3;0;2;1;1;1
04 Feb 2014;2014-02-04;1;0;1;1;1;1
05 Feb 2014;2014-02-05;1;0;1;1;1;1
09 Feb 2014;2014-02-09;1;0;1;1;1;1
21 Feb 2014;2014-02-21;1;0;1;1;1;1
27 Feb 2014;2014-02-27;1;0;1;1;1;1
28 Feb 2014;2014-02-28;1;0;1;1;1;1
01 Mar 2014;2014-03-01;1;0;1;1;1;1
06 Mar 2014;2014-03-06;2;0;1;1;1;1
07 Mar 2014;2014-03-07;1;0;1;1;1;1
08 Mar 2014;2014-03-08;1;0;1;1;1;1
10 Mar 2014;2014-03-10;1;0;1;1;1;1
13 Mar 2014;2014-03-13;1;0;1;1;1;1
17 Mar 2014;2014-03-17;1;0;1;1;1;1
21 Mar 2014;2014-03-21;0;1;1;1;1;1
23 Mar 2014;2014-03-23;1;0;1;1;1;1
29 Mar 2014;2014-03-29;1;0;1;1;1;1
02 Apr 2014;2014-04-02;1;0;1;1;1;1
04 Apr 2014;2014-04-04;1;0;1;1;1;1
05 Apr 2014;2014-04-05;1;0;1;1;1;1
07 Apr 2014;2014-04-07;3;0;2;1;1;1
13 Apr 2014;2014-04-13;2;0;1;1;1;1
16 Apr 2014;2014-04-16;1;0;1;1;1;1
19 Apr 2014;2014-04-19;2;0;2;2;2;1
20 Apr 2014;2014-04-20;1;0;1;1;1;1
24 Apr 2014;2014-04-24;3;0;3;2;3;1
25 Apr 2014;2014-04-25;1;0;1;1;1;1
26 Apr 2014;2014-04-26;1;0;1;1;1;1
27 Apr 2014;2014-04-27;1;0;1;1;1;1
